"","NRO","SEXO","EDAD","P1A","P1B","P1C","P1D","P2_1","P2_2","P3A","P3B","P3C","P3D","P4A","P4B","P4C","P4D","P4E","P4F","P4G","P4H","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22.1","P22.2","P23","P24","P25A","P25B","P26","P27","P28A","P28B","P28C","P28D","P28E","P29","P30","P31.1","P31.2","P32","P33.1","P33.2","P34","P35","P36","P37A","P37B","P37C","P37D","P37E","P37F","P38","P39","P40","P41","P42","P43A","P43B","P43C","P44","P45","P46","P47","P48A","P48B","P48C","P48D","P49.1","P49.2","P49.3","P50","P51A","P51B","P51C","P51D","P51E","P51F","P51G","P51H","P51I","P51J","P52A","P52B","P52C","P52D","P53.01","P53.02","P53.03","P53.04","P53.05","P53.06","P53.07","P53.08","P53.09","P53.10","P54.1","P54.2","P54.3","P55","P56","P57","P58","P59A","P59B","P59C","P59D","P59E","P59F","P59G","P60","P61A","P61B","P61C","P61D","P61E","P61F","P61G","P62A","P62B","P62C","P62D","P62E","P63","P64","P65","P66","P67","P68","TFAM","NIVEDU","OCUPA","TRAB","JEFE","JNIVEDU","JOCUPA","JTRAB","SERVHI","BANOS","DOMES","CGAS","REFRI","LAVA","COMPRAS","INGRESO","IDENETNICA","GEDAD","TIPOVIVI","AVIVI","PISTAS","NIVEL","UBIGEO10","estrato","nse1","nsegrup","ESTRATOS","PESO","inseguridad08","inseguridad08100","rank_inseguridad08100","adaptk8.cluster"
"326",385,"Femenino",80,"No precisa","Aprueba","Aprueba","Aprueba","No precisa",NA,"Aprueba","Aprueba","Aprueba","Aprueba","Alguna","No precisa","Mucha","Mucha","Alguna","Alguna","Mucha","Mucha","Buena","Mejor","Poco informado","Ambos por igual","Ambos por igual","Ambos por igual","Ambos por igual","Satisfecho","Me da lo mismo un tipo de gobierno u otro","Promover una mayor participación del Estado en la economía e","10","5","Algo mejor","Permanecerá igual","Permanece igual","Permanecerá igual","Nada justificable","El alza o la subida de precios de algunos productos de la ca",NA,"Simpatizo con ellas","El gobierno","Ningún impacto","Algún impacto","Tolerante","No precisa","Sí","Sí","Sí","Sí","Sí","Ninguno/Nadie","El gobierno","Son trabajadores",NA,"No precisa","Programa de empleo juvenil",NA,"Buscar trabajo","Bien","Bien","No precisa","De acuerdo","En desacuerdo","No precisa","De acuerdo","De acuerdo","Sí","Serán mejores que los adultos de hoy","Algo","Sí","Sí","En desacuerdo","No precisa","De acuerdo","Se puede confiar en la mayoría de la gente","Muy satisfecho","Ser de utilidad a la sociedad","No precisa","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Agresiones físicas",NA,"Atraco (con violencia o amenaza)","Ninguna frecuencia","Poca frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Poca frecuencia","Poca frecuencia","Ninguna frecuencia","Ninguna frecuencia","Poca frecuencia","No","Sí","No","Sí","No llevar mucho dinero consigo","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside","No llevar joyas u objetos valiosos a la vista","Instalar rejas en su domicilio",NA,NA,NA,NA,NA,"La escasez de medios de la Policía","La lejanía de las comisarías",NA,"No",NA,NA,"Ha disminuido algo","Nada eficaz","Muy eficaz","No precisa","No precisa","Nada eficaz","Poco eficaz","Bastante eficaz","La familia","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","No precisa","Bueno","Malo","Malo","Bueno","No precisa","No",NA,"No",NA,NA,4,"Primaria completa","No precisa",NA,"Otra persona","Primaria completa","No precisa",NA,"Water / inodoro",5,"No","Sí","Sí","Sí","Iguales","No precisa","Quechua","45 a más","Casa independiente","Popular","Asfaltado en regular o mal estado","Plano","150135            ","Lima Norte","D","D/E","Lima Norte - Mujeres",0.92266330104287,1.32479291561821,86.0166413456094,506,4
"327",386,"Femenino",59,"Desaprueba","Desaprueba","Desaprueba","Aprueba","Porque no cumple sus promesas/Ha vuelto a engañar al pueblo/",NA,"Desaprueba","Desaprueba","Aprueba","Desaprueba","Poca","Poca","Mucha","Ninguna","Alguna","Ninguna","Ninguna","Alguna","Regular","Mejor","Medianamente informado","No precisa","Los dueños de las grandes empresas","La gente de clase alta, los ricos","Los empresarios extranjeros","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","No precisa","8","Permanece igual","Mejorará algo","Algo mejor","Mejorará algo","Poco justificable","El alza o la subida de precios de algunos productos de la ca","La falta de empleo","Me solidarizo con ellas","El gobierno","Poco impacto","Mucho impacto","Intolerante","Alguna influencia","Sí","Sí","Sí","Sí","Sí","Los sindicatos (la GCTP)","El gobierno","Son trabajadores","Quieren y valoran a su país","Bajo nivel educativo","Programa de prevención del pandillaje y la violencia juvenil","Programa para incentivar las cualidades artísticas y deporti","Buscar trabajo","Mal","Regular","En desacuerdo","No precisa","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","Sí","Serán mejores que los adultos de hoy","Algo","Sí","Sí","En desacuerdo","De acuerdo","De acuerdo","Es muy difícil confiar en los demás","","Ser autosuficiente, no depender de nadie","La falta de trabajo","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Venta de drogas","Corrupción","Actos de vandalismo","Poca frecuencia","Regular frecuencia","Mucha frecuencia","Ninguna frecuencia","Ninguna frecuencia","Regular frecuencia","Poca frecuencia","Regular frecuencia","Ninguna frecuencia","Regular frecuencia","No","Sí","No","No","No llevar mucho dinero consigo","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside","Instalar rejas en su domicilio",NA,NA,NA,NA,NA,NA,"El desempleo","Las carencias afectivas en el hogar","La lejanía de las comisarías","No",NA,NA,"Ha aumentado algo","Poco eficaz","Bastante eficaz","Bastante eficaz","No precisa","Nada eficaz","Muy eficaz","Muy eficaz","Todos","Malo","Bueno","Bueno","Bueno","Malo","Bueno","Malo","Bueno","Muy bueno","Malo","Malo","Malo","En las operaciones especiales","No",NA,"No",NA,NA,6,"Secundaria completa","Ama de casa",NA,"Otra persona","Superior universitaria incompleta","Independiente / cuenta propia","Pequeño comerciante con puesto / Microempresario (menos de 5","Water / inodoro",1,"No","Sí","Sí","Sí","Mejores","Entre 2001 y 3000","Quechua","45 a más","Casa independiente","Popular","Asfaltado en regular o mal estado","Plano","150135            ","Lima Norte","C","C","Lima Norte - Mujeres",0.92266330104287,-0.0312732785975633,56.2342645626646,251,1
"328",387,"Masculino",39,"Aprueba","No precisa","No precisa","Aprueba","Porque mantiene la economía estable",NA,"No precisa","No precisa","No precisa","No precisa","Alguna","Ninguna","Ninguna","Ninguna","Alguna","Ninguna","Ninguna","Alguna","Regular","Igual","Informado","La gente que vive en Lima","Ambos por igual","No precisa","Los empresarios extranjeros","Satisfecho","Me da lo mismo un tipo de gobierno u otro","Promover la economía privada de mercado es la única forma en","4","6","Algo mejor","Mejorará algo","Algo mejor","Mejorará algo","No precisa","La falta de empleo","Los bajos salarios / sueldos","Me siento indiferente / neutral","Ninguno de los dos","Poco impacto","Algún impacto","Tolerante","Poca influencia","No precisa","No","No","Sí","Sí","Ninguno/Nadie","Los sindicatos (la GCTP)","Son rebeldes",NA,"Falta de oportunidades de trabajo","Programa de control y rehabilitación del uso de drogas","Programa de prevención del pandillaje y la violencia juvenil","Estudiar una carrera técnica","Mal","No precisa","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","No","Serán iguales que los adultos de hoy","Poco","Sí","No","En desacuerdo","De acuerdo","De acuerdo","Es muy difícil confiar en los demás","","Ser autosuficiente, no depender de nadie","Los embarazos no deseados","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","Hurto sin violencia","Asaltos con armas","Venta de drogas","Robo en vivienda o local","Mucha frecuencia","Regular frecuencia","Regular frecuencia","Ninguna frecuencia","Poca frecuencia","Mucha frecuencia","Regular frecuencia","Ninguna frecuencia","Ninguna frecuencia","Regular frecuencia","No","No","No","No","No llevar mucho dinero consigo","No salir de noche sin compañía","No dejar objetos a la vista en el auto",NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","La poca dureza de las penas",NA,"Sí","Robo de objetos en su vehículo","Poco","Se mantiene igual","Poco eficaz","Bastante eficaz","Bastante eficaz","Poco eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","La familia","Malo","Malo","Malo","Muy malo","Muy malo","Malo","Malo","Malo","Malo","Malo","Bueno","Malo","En la protección de funcionarios","No",NA,"Sí","Faltas de tránsito","Se resolvió injustamente",4,"Superior universitaria incompleta","Asalariado sector privado","Empleado no profesional de rango medio (cajero, vendedor)","El propio entrevistado",NA,NA,NA,"Water / inodoro",1,"No","Sí","Sí","Sí","Mejores","No precisa","Mestizo","30 a 44","Casa independiente","Popular","Asfaltado en regular o mal estado","Plano","150135            ","Lima Norte","C","C","Lima Norte - Hombres",0.981808384443054,-0.334313060347782,49.5788040852903,200,3
"329",388,"Femenino",21,"Desaprueba","Aprueba","Desaprueba","Aprueba","Porque no cumple sus promesas/Ha vuelto a engañar al pueblo/",NA,"Desaprueba","Aprueba","Aprueba","No precisa","Alguna","Alguna","Ninguna","Poca","Poca","Poca","Poca","Poca","Buena","Igual","Medianamente informado","La gente que vive en Lima","Los dueños de las grandes empresas","Los sectores populares, el pueblo","Los empresarios extranjeros","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","4","5","Algo mejor","Permanecerá igual","Algo peor","Permanecerá igual","Algo justificable","El alza o la subida de precios de algunos productos de la ca","La falta de empleo","Me siento indiferente / neutral","Ninguno de los dos","Poco impacto","Mucho impacto","Intolerante","Poca influencia","No","Sí","Sí","Sí","Sí","Ninguno/Nadie","Los sindicatos (la GCTP)","Son individualistas","No tienen interés en cambiar su realidad","Bajo nivel educativo","Programa de prevención del pandillaje y la violencia juvenil","Programa para incentivar la participación política de los jó","Estudiar una carrera técnica","Mal","Regular","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","No","Serán mejores que los adultos de hoy","Algo","Sí","Sí","En desacuerdo","En desacuerdo","De acuerdo","Es muy difícil confiar en los demás","","Poder trabajar en lo que me gusta","La falta de trabajo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Asaltos con armas","Fraudes y estafas","Robo en vivienda o local","Poca frecuencia","Poca frecuencia","Poca frecuencia","Poca frecuencia","Poca frecuencia","Ninguna frecuencia","Regular frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Sí","No","No","No","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside","No llevar joyas u objetos valiosos a la vista","Instalar rejas en su domicilio",NA,NA,NA,NA,NA,NA,"La pobreza y las desigualdades sociales","Las carencias afectivas en el hogar","El mal funcionamiento de la justicia","Sí","Robo al paso (de bolso, cartera, celular)","Nada","Ha aumentado algo","Poco eficaz","Bastante eficaz","Muy eficaz","Nada eficaz","Nada eficaz","Bastante eficaz","Nada eficaz","El propio consumidor","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","En la protección de funcionarios","No",NA,"Sí","Otro","Se resolvió injustamente",3,"Superior universitaria incompleta","Asalariado sector privado","Empleado no profesional de rango medio (cajero, vendedor)","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",3,"No","Sí","No","No","Mejores","Entre 601 y 1000","No precisa","18 a 29","Casa independiente","Popular","Asfaltado en regular o mal estado","Plano","150135            ","Lima Norte","C","C","Lima Norte - Mujeres",0.92266330104287,0.893737355813733,76.5496557727522,435,4
"330",389,"Masculino",44,"Desaprueba","Desaprueba","Desaprueba","Aprueba","Por su plan económico",NA,"No precisa","Aprueba","No precisa","No precisa","Poca","Poca","Alguna","Alguna","Mucha","Alguna","Alguna","Alguna","Buena","Mejor","Informado","La gente que vive en Lima","Los dueños de las grandes empresas","Ambos por igual","Los empresarios extranjeros","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e","7","6","Permanece igual","Mejorará algo","Permanece igual","Mejorará algo","Algo justificable","El alza o la subida de precios de algunos productos de la ca",NA,"Me siento indiferente / neutral","Los organizadores del paro","Poco impacto","Mucho impacto","Tolerante","Alguna influencia","No","Sí","Sí","Sí","Sí","Ninguno/Nadie","El gobierno","Son emprendedores","Son trabajadores","Calificación técnica insuficiente","Programa de empleo juvenil","Programa para incentivar la participación política de los jó","Estudiar una carrera técnica","Muy mal","Regular","En desacuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","Sí","Serán mejores que los adultos de hoy","Poco","Sí","Sí","En desacuerdo","De acuerdo","De acuerdo","Es muy difícil confiar en los demás","","Ser de utilidad a la sociedad","La violencia (inseguridad ciudadana, pandillaje, terrorismo)","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","Violencia callejera","Venta de drogas",NA,"Robo al paso (de bolso, cartera, celular)","Poca frecuencia","Mucha frecuencia","Regular frecuencia","Ninguna frecuencia","Ninguna frecuencia","Mucha frecuencia","Regular frecuencia","Mucha frecuencia","Ninguna frecuencia","Mucha frecuencia","No","No","No","No","No llevar mucho dinero consigo","No salir de noche sin compañía",NA,NA,NA,NA,NA,NA,NA,NA,"El desempleo","La escasez de medios de la Policía",NA,"No",NA,NA,"Ha aumentado mucho","Bastante eficaz","Muy eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","El propio consumidor","Malo","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Malo","Bueno","Malo","En la resolución de secuestros","No",NA,"No",NA,NA,4,"Superior universitaria incompleta","Independiente / cuenta propia","Profesional independiente o profesor universitario","Otra persona","Superior universitaria completa","Independiente / cuenta propia","Profesional independiente o profesor universitario","Water / inodoro",1,"No","Sí","Sí","Sí","Iguales","Entre 1501 y 2000","Mestizo","30 a 44","Casa independiente","Popular","Asfaltado en regular o mal estado","Plano","150135            ","Lima Norte","C","C","Lima Norte - Hombres",0.981808384443054,-0.641300604516036,42.8366415366714,146,3
"331",390,"Femenino",33,"Desaprueba","Desaprueba","No precisa","Aprueba","Porque comete los mismos errores de su gobierno anterior",NA,"Desaprueba","Aprueba","Desaprueba","Aprueba","Poca","Ninguna","Alguna","Ninguna","Alguna","Ninguna","Ninguna","Ninguna","Regular","Mejor","Medianamente informado","La gente que vive en Lima","Los dueños de las grandes empresas","La gente de clase alta, los ricos","Los empresarios extranjeros","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e","5","No precisa","Algo mejor","Mejorará algo","Permanece igual","Mejorará algo","Nada justificable","Los bajos salarios / sueldos","La falta de atención del gobierno a las demandas de las regi","Estoy totalmente en desacuerdo con ellas","El gobierno","Ningún impacto","Mucho impacto","Tolerante","Poca influencia","Sí","Sí","No precisa","Sí","Sí","El gobierno","Ninguno/Nadie","Son rebeldes","No tienen interés en cambiar su realidad","Bajo nivel educativo","Programa de empleo juvenil","Programa de prevención del pandillaje y la violencia juvenil","Estudiar una carrera técnica","Mal","No precisa","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","Sí","No precisa","Nada","Sí","No","De acuerdo","De acuerdo","De acuerdo","Es muy difícil confiar en los demás","","Ser autosuficiente, no depender de nadie","No precisa","No precisa","De acuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Asaltos con armas","Venta de drogas","Abusos o coacciones por parte de agentes de la autoridad","Mucha frecuencia","Poca frecuencia","Regular frecuencia","Poca frecuencia","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Poca frecuencia","Ninguna frecuencia","Mucha frecuencia","Sí","Sí","No","No","No llevar mucho dinero consigo","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside","No llevar joyas u objetos valiosos a la vista",NA,NA,NA,NA,NA,NA,"El consumo de drogas","La poca eficacia de la Policía",NA,"Sí","Atraco (con violencia o amenaza)","Mucho","Ha aumentado mucho","Nada eficaz","Bastante eficaz","Muy eficaz","Bastante eficaz","Nada eficaz","Poco eficaz","Muy eficaz","La familia","No precisa","Malo","Malo","Malo","Muy malo","Bueno","Muy malo","Malo","Bueno","Malo","Bueno","Muy malo","En la protección de funcionarios","No",NA,"No",NA,NA,3,"Superior técnica completa","Independiente / cuenta propia","Pequeño comerciante con puesto / Microempresario (menos de 5","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",1,"No","Sí","Sí","Sí","Mejores","Entre 601 y 1000","Mestizo","30 a 44","Casa independiente","Popular","Asfaltado en regular o mal estado","Plano","150135            ","Lima Norte","C","C","Lima Norte - Mujeres",0.92266330104287,-1.07101927212616,33.3990172348348,98,3
"332",391,"Masculino",27,"Aprueba","Desaprueba","Desaprueba","Desaprueba","Porque está trabajando/está tratando de hacer bien las cosas",NA,"Desaprueba","No precisa","No precisa","Desaprueba","Alguna","Poca","Poca","Ninguna","Alguna","Poca","Poca","Alguna","Regular","Igual","Medianamente informado","La gente que vive en Lima","Los trabajadores","Los sectores populares, el pueblo","Los empresarios extranjeros","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","No precisa","7","8","Algo mejor","Mejorará mucho","Algo mejor","Mejorará algo","Nada justificable","Los bajos salarios / sueldos","Apoyar los intereses políticos de algunos grupos de oposició","Estoy totalmente en desacuerdo con ellas","El gobierno","Ningún impacto","Poco impacto","Tolerante","Alguna influencia","No","Sí","Sí","Sí","No","Ninguno/Nadie","Los sindicatos (la GCTP)","Son emprendedores","Son creativos","Bajo nivel educativo","Programa de empleo juvenil","Programa de prevención del pandillaje y la violencia juvenil","Estudiar una carrera universitaria","Mal","Regular","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán peores que los adultos de hoy","Poco","Sí","Sí","En desacuerdo","De acuerdo","De acuerdo","Es muy difícil confiar en los demás","","Ser exitoso en mi trabajo","La falta de trabajo","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Violencia callejera","Venta de drogas","Robo en vivienda o local","Regular frecuencia","Regular frecuencia","Poca frecuencia","Ninguna frecuencia","Ninguna frecuencia","Poca frecuencia","Poca frecuencia","Poca frecuencia","Poca frecuencia","Poca frecuencia","No","Sí","No","No","No llevar mucho dinero consigo","Evitar caminar por zonas apartadas o por lugares que conside",NA,NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","El desempleo","La poca dureza de las penas","No",NA,NA,"Ha aumentado mucho","Poco eficaz","Bastante eficaz","Bastante eficaz","Muy eficaz","Nada eficaz","Bastante eficaz","Poco eficaz","Todos","Malo","Bueno","Malo","Malo","Malo","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","En la resolución de secuestros","No",NA,"No",NA,NA,3,"Superior universitaria completa","Asalariado sector privado","Profesional independiente o profesor universitario","El propio entrevistado",NA,NA,NA,"Water / inodoro",2,"No","Sí","Sí","Sí","Mejores","Entre 2001 y 3000","Mestizo","18 a 29","Casa independiente","Medio","Asfaltado en regular o mal estado","Plano","150135            ","Lima Norte","B","A/B","Lima Norte - Hombres",0.981808384443054,0.462839542740316,67.0861346860688,354,1
"333",392,"Masculino",20,"Desaprueba","Desaprueba","Aprueba","Desaprueba","Porque no se perciben cambios/todo sigue igual",NA,"Aprueba","Desaprueba","Aprueba","Desaprueba","Alguna","Poca","Poca","Poca","Mucha","Alguna","Alguna","Mucha","Regular","Igual","Medianamente informado","La gente que vive en Lima","Los dueños de las grandes empresas","La gente de clase alta, los ricos","Los empresarios extranjeros","Insatisfecho","Me da lo mismo un tipo de gobierno u otro","Promover la economía privada de mercado es la única forma en","0","5","Algo mejor","Mejorará algo","Mucho mejor","Mejorará algo","Algo justificable","La falta de atención del gobierno a las demandas de las regi","Buscar desestabilizar al gobierno","Simpatizo con ellas","El gobierno","Poco impacto","Mucho impacto","Tolerante","Alguna influencia","Sí","Sí","Sí","Sí","Sí","Los sindicatos (la GCTP)","El gobierno","Son creativos","Quieren y valoran a su país","Bajo nivel educativo","Programa de prevención del pandillaje y la violencia juvenil","Programa para incentivar las cualidades artísticas y deporti","Buscar trabajo","Regular","Regular","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","No","Serán mejores que los adultos de hoy","Nada","Sí","Sí","De acuerdo","De acuerdo","De acuerdo","Es muy difícil confiar en los demás","","Ser exitoso en mi trabajo","La violencia (inseguridad ciudadana, pandillaje, terrorismo)","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Agresiones físicas","Venta de drogas","Agresión personal (no sexual)","Regular frecuencia","Regular frecuencia","Poca frecuencia","Poca frecuencia","Mucha frecuencia","Mucha frecuencia","Poca frecuencia","Poca frecuencia","Ninguna frecuencia","Mucha frecuencia","No","Sí","No","No","No llevar joyas u objetos valiosos a la vista","Instalar una alarma en su domicilio","No dejar objetos a la vista en el auto",NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","La poca eficacia de la Policía","Las carencias afectivas en el hogar","Sí","Atraco (con violencia o amenaza)","Algo","Ha aumentado mucho","Nada eficaz","Poco eficaz","Poco eficaz","Bastante eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","La familia","Bueno","Malo","Malo","Malo","Bueno","Malo","Malo","Bueno","Malo","Malo","Malo","Malo","En las operaciones especiales","No",NA,"No",NA,NA,4,"Superior técnica completa","Independiente / cuenta propia","Profesor escolar, profesor no universitario (de academia o i","Otra persona","Secundaria incompleta","Independiente / cuenta propia","Chofer, transportista o taxista sin carro propio","Water / inodoro",1,"No","Sí","Sí","Sí","Mejores","Entre 601 y 1000","Mestizo","18 a 29","Departamento en edificio","Popular","Asfaltado en regular o mal estado","Plano","150135            ","Lima Norte","D","D/E","Lima Norte - Hombres",0.981808384443054,-0.644116784140796,42.7747916630953,144,3
"334",393,"Masculino",34,"Aprueba","Aprueba","Aprueba","Aprueba","Porque hay más trabajo y mejores condiciones laborales",NA,"Desaprueba","No precisa","No precisa","Desaprueba","Alguna","Poca","Mucha","Alguna","Alguna","Poca","Poca","Alguna","Regular","Igual","Medianamente informado","Ambos por igual","Los trabajadores","Ambos por igual","Ambos por igual","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e","10","10","Algo mejor","Mejorará algo","Algo peor","No precisa","Nada justificable","La falta de atención del gobierno a las demandas de las regi","Buscar desestabilizar al gobierno","Me siento indiferente / neutral","Ninguno de los dos","Algún impacto","Mucho impacto","Intolerante","Poca influencia","Sí","Sí","Sí","Sí","Sí","El gobierno","Los sindicatos (la GCTP)","Son emprendedores","Quieren y valoran a su país","Bajo nivel educativo","Programa de empleo juvenil","Programa para incentivar la participación política de los jó","Estudiar una carrera técnica","Regular","Regular","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán mejores que los adultos de hoy","Mucho","Sí","No","De acuerdo","De acuerdo","De acuerdo","Se puede confiar en la mayoría de la gente","","Ser de utilidad a la sociedad","El SIDA","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Asaltos con armas","Protestas o huelgas","Actos de vandalismo","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Ninguna frecuencia","Regular frecuencia","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Ninguna frecuencia","Mucha frecuencia","Sí","No","No","Sí","No llevar mucho dinero consigo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","El desempleo","Las carencias afectivas en el hogar","Sí","Robo al paso (de bolso, cartera, celular)","Mucho","Ha aumentado mucho","Muy eficaz","Muy eficaz","Bastante eficaz","Poco eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","Los profesores","Bueno","Bueno","Malo","Bueno","Malo","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Malo","En la lucha contra las drogas","Sí","Muy satisfactorio","No",NA,NA,5,"Superior técnica completa","Asalariado sector privado","Empleado de rango intermedio del sector privado","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",2,"No","Sí","Sí","No","Mejores","No precisa","No precisa","30 a 44","Casa independiente","Popular","Asfaltado en buen estado","Plano","150135            ","Lima Norte","C","C","Lima Norte - Hombres",0.981808384443054,-1.50638523164373,23.8373652298462,48,2
"335",394,"Masculino",50,"Aprueba","No precisa","No precisa","Aprueba","Porque es una buena gestión/un buen gobierno","Porque hace buenas obras","Desaprueba","Aprueba","Desaprueba","Desaprueba","Ninguna","Ninguna","Mucha","Poca","Alguna","Poca","Ninguna","Poca","Regular","Igual","Poco informado","Ambos por igual","Ambos por igual","Ambos por igual","Ambos por igual","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e","10","5","Algo mejor","Mejorará algo","Algo peor","Permanecerá igual","Nada justificable","Apoyar los intereses políticos de algunos grupos de oposició","Buscar desestabilizar al gobierno","Me siento indiferente / neutral","Ninguno de los dos","Poco impacto","Mucho impacto","Tolerante","Mucha influencia","Sí","Sí","Sí","Sí","Sí","El gobierno","Los sindicatos (la GCTP)","Son rebeldes","Son pesimistas con su futuro","Falta de oportunidades de trabajo","Programa de educación en salud sexual y reproductiva","Programa de prevención del pandillaje y la violencia juvenil","Estudiar una carrera técnica","Bien","Bien","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","No precisa","Mucho","Sí","No","De acuerdo","De acuerdo","De acuerdo","Es muy difícil confiar en los demás","","Poder trabajar en lo que me gusta","Las violaciones sexuales","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Amenazas e intimidaciones","Protestas o huelgas","Robo en vivienda o local","Regular frecuencia","Mucha frecuencia","Regular frecuencia","Ninguna frecuencia","Poca frecuencia","Mucha frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Sí","No","No","No","Evitar caminar por zonas apartadas o por lugares que conside","No llevar joyas u objetos valiosos a la vista",NA,NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","El bajo nivel educativo","La poca dureza de las penas","No",NA,NA,"Ha aumentado algo","Bastante eficaz","Bastante eficaz","Poco eficaz","Nada eficaz","Nada eficaz","Muy eficaz","Muy eficaz","La familia","Malo","Bueno","Bueno","Malo","Malo","Bueno","Malo","Bueno","Bueno","Malo","Bueno","Malo","En la lucha contra las drogas","No",NA,"No",NA,NA,1,"Secundaria completa","Independiente / cuenta propia","Obrero especializado, mecánico, electricista","El propio entrevistado",NA,NA,NA,"Water / inodoro",2,"No","Sí","Sí","No","Mejores","No precisa","Mestizo","45 a más","Casa independiente","Medio","Asfaltado en buen estado","Plano","150135            ","Lima Norte","C","C","Lima Norte - Hombres",0.981808384443054,0.248704436914324,62.3832282709041,307,1
