"","NRO","SEXO","EDAD","P1A","P1B","P1C","P1D","P2A","P2B","P2C","P2D","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16.1","P16.2","P16.3","P16.4","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30","P31","P32A","P32B","P32C","P32D","P32E","P32F","P32G","P32H","P32I","P32J","P33A","P33B","P33C","P34A","P34B","P35","P36","P37","P38","P39","P40","P41A","P41B","P41C","P41D","P41E","P42A","P42B","P42C","P42D","P42E","P42F","P42G","P42H","P43A","P43B","P43C","P43D","P43E","P44A","P44B","P44C","P44D","P44E","P44F","P44G","P45.1","P45.2","P45.3","P46_1","P46_2","P47.1","P47.2","P47.3","P48","P49","P50","P51.01","P51.02","P51.03","P51.04","P51.05","P51.06","P51.07","P51.08","P51.09","P51.10","P51.11","P51.12","P52","P53A","P53B","P53C","P53D","P53E","P53F","P53G","P54","P55A","P55B","P55C","P55D","P55E","P55F","P55G","P56A","P56B","P56C","P56D","P56E","P57","P58","P59","P60","P61","P62","TFAM","NIVEDU","OCUPA","TRAB","JEFE","JNIVEDU","JOCUPA","JTRAB","SERVHI","BANOS","DOMES","CGAS","REFRI","LAVA","COMPRAS","INGRESO","IDENETNICA","GEDAD","TIPOVIVI","AVIVI","PISTAS","NIVEL","UBIGEO09","estrato","nse1","nsegrup","PESO","UBIGEO09","inseguridad09","inseguridad09100","rank_inseguridad09100","adaptk.cluster"
"319",527,"Masculino",47,"Desaprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Aprueba","Regular","Peor","Medianamente informado","Algo interesado","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Promover la economía privada de mercado es la única forma en","No",NA,NA,"Keiko Fujimori","Alejandro Toledo",NA,NA,NA,"Keiko Fujimori","Luis Castañeda","No precisa","Luis Castañeda","Algo peor","Empeorará algo","Algo peor","Empeorará algo","Conseguir beneficios particulares aprovechando un cargo públ","Poco honesto","Muy grave","Mucho más corrupto","Igual","Alan García Pérez (85-90)","Más corrupto que los otros","","","","","","","","","",5,"Poco eficiente","Poco eficiente","Poco eficiente","Muy de acuerdo","De acuerdo","Ricos","Todos por igual","El rol fiscalizador de los medios de comunicación","Someterlos a la vergüenza pública","Tranquilidad","","","","","","","","","","","","","","","No","No","No","No","No","No","No","No","Sí","No","No","Sí","Robo en vivienda o local","Robo en cajeros","Actos de vandalismo y violencia callejera","Robo en vivienda o local","Actos de vandalismo y violencia callejera","El desempleo","La poca dureza de las penas","La falta de colaboración ciudadana","Sí","Agresión física personal (no sexual)","Algo","No salir sin compañía","Buscar paraderos iluminados y concurridos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado algo","Poco eficaz","Poco eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Poco eficaz","Bastante eficaz","El propio consumidor","Bueno","Bueno","Malo","Bueno","Bueno","Malo","Malo","Bueno","Malo","Bueno","Malo","Malo","La prevención de la delincuencia","Sí","Satisfactorio","No",NA,NA,6,"Inicial o primaria incompleta","Independiente / cuenta propia","Vendedor ambulante","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",2,"No","Sí","No","No","Peores","Entre 1001 y 1500","Mestizo","45 a más","Vivienda en quinta","Popular","Asfaltado en regular o mal estado","Inclinado","150132            ","Lima Este","D","D/E",1.04223766235939,"150132            ",-0.430595766581223,38.9664083357604,164,3
"320",533,"Masculino",34,"Desaprueba","Desaprueba","No precisa","Aprueba","Desaprueba","Desaprueba","Desaprueba","No precisa","Regular","No precisa","Medianamente informado","Poco interesado","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","La democracia puede funcionar sin congreso o parlamento","La democracia puede funcionar sin partidos políticos","Promover una mayor participación del Estado en la economía e","No",NA,NA,"No precisa","No precisa",NA,NA,NA,"No precisa","No precisa","No precisa","No precisa","Permanece igual","No precisa","Algo peor","No precisa","Apropiarse de dinero o propiedades públicas","Poco honesto","Muy grave","Igual de corrupto","Algo peor","Alan García Pérez (85-90)","Más corrupto que los otros","","","","","","","","","No es corrupta",3,"Poco eficiente","Nada eficiente","Nada eficiente","De acuerdo","No precisa","Ricos","Todos por igual","Un trabajo eficiente de instituciones especializadas en el c","Un Poder Judicial más efectivo y menos corrupto","Tranquilidad","","","Nada Segura","No precisa","","No precisa","","",NA,"","","","","","No","Sí","No","No","No","No precisa","Sí","Sí","No precisa","No precisa","Sí","No precisa","Atraco (con violencia o amenaza) y Asaltos con armas","Robo al paso (de bolso, cartera, celular)","Actos de vandalismo y violencia callejera","Actos de vandalismo y violencia callejera","Robo al paso (de bolso, cartera, celular)","El consumo de drogas","El desempleo","El mal funcionamiento de la justicia","No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor","Cambiar de rutas con frecuencia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Poco eficaz","Bastante eficaz","Poco eficaz","Poco eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","La policía","Ni bueno, ni malo","Bueno","Ni bueno, ni malo","Malo","Malo","Ni bueno, ni malo","Malo","Malo","Ni bueno, ni malo","Malo","Ni bueno, ni malo","Malo","No precisa","No",NA,"No",NA,NA,4,"Secundaria completa","Asalariado sector privado","Pequeño comerciante con puesto / Microempresario (menos de 5","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",1,"No","Sí","Sí","No","No precisa","Entre 1001 y 1500","No precisa","30 a 44","Casa independiente","Medio","Asfaltado en buen estado","Plano","150132            ","Lima Este","C","C",1.04223766235939,"150132            ",-0.144351528491068,43.149549204887,218,1
"321",562,"Femenino",56,"Desaprueba","Desaprueba","Desaprueba","Desaprueba","Aprueba","Aprueba","Aprueba","Desaprueba","Regular","Igual","Bien informado","Poco interesado","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","La democracia puede funcionar sin congreso o parlamento","Sin partidos políticos no puede haber democracia","Promover la economía privada de mercado es la única forma en","Si","","","Otros","Keiko Fujimori",NA,NA,NA,"No precisa","Luis Castañeda","No precisa","Luis Castañeda","Mucho peor","Mejorará algo","Algo peor","Mejorará algo","Hacer obras públicas en tiempo de campaña","Algo honesto","Muy grave","Mucho más corrupto","Mucho mejor","Alan García Pérez (85-90)","Tan corrupto como los otros","","","","","","","","","",7,"Poco eficiente","Poco eficiente","Poco eficiente","De acuerdo","De acuerdo","Pobres","Los políticos","Un trabajo eficiente de instituciones especializadas en el c","Educación en valores en las escuelas y las familias","Garantía","","","","","","","","","","","","","","","No","No","No","No","Sí","Sí","Sí","Sí","No","Sí","Sí","No precisa","Robo al paso (de bolso, cartera, celular)","Fraude o estafa","Venta de drogas","Robo al paso (de bolso, cartera, celular)","Fraude o estafa","La pobreza y las desigualdades sociales","El bajo nivel educativo","El mal funcionamiento de la justicia","Sí","Fraude o estafa","Mucho","No llevar mucho dinero consigo ni objetos de valor","Buscar paraderos iluminados y concurridos","Instalar una alarma o instalar rejas en su domicilio","Anotar placa del taxi","Cambiar de rutas con frecuencia","Llevar ocultos los objetos de valor o dinero","Evitar contacto con extraños en la calle",NA,NA,NA,NA,NA,"Ha aumentado mucho","Poco eficaz","Poco eficaz","Poco eficaz","Poco eficaz","Nada eficaz","Poco eficaz","Muy eficaz","Todos","Bueno","Bueno","Bueno","Ni bueno, ni malo","Ni bueno, ni malo","No precisa","Bueno","Bueno","Bueno","Malo","Malo","Ni bueno, ni malo","La protección de los ciudadanos","No",NA,"No",NA,NA,3,"Superior universitaria incompleta","Actualmente no trabaja",NA,"Otra persona","Secundaria incompleta","Independiente / cuenta propia","Pequeño comerciante con puesto / Microempresario (menos de 5","Water / inodoro",1,"No","Sí","Sí","No","No precisa","Entre 300 y 600","Quechua","45 a más","Casa independiente","Popular","Asfaltado en buen estado","Inclinado","150108            ","Lima Sur","D","D/E",0.974300959895075,"150108            ",0.893225587970204,58.3125836460298,407,2
"322",592,"Femenino",37,"Aprueba","No precisa","No precisa","Aprueba","Desaprueba","Aprueba","Aprueba","Aprueba","Regular","Peor","Poco informado","Nada interesado","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Promover una mayor participación del Estado en la economía e","Si","","","Keiko Fujimori","Alejandro Toledo",NA,NA,NA,"Keiko Fujimori","Luis Castañeda","Otros","Luis Castañeda","Mucho peor","Mejorará algo","Algo peor","Empeorará algo","Apropiarse de dinero o propiedades públicas","Poco honesto","Muy grave","Igual de corrupto","Algo peor","Alberto Fujimori Fujimori (90-2001)","Tan corrupto como los otros","","","","","Muy corrupta","","Muy corrupta","Muy corrupta","",8,"Poco eficiente","Poco eficiente","Poco eficiente","De acuerdo","En desacuerdo","Pobres","Los políticos","Un trabajo eficiente de instituciones especializadas en el c","Un Poder Judicial más efectivo y menos corrupto","Confianza","","","","","","","Nada Segura","","","","","","Nada Segura","","No","No","No","No","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Violaciones, abusos o acosos sexuales","Actos de vandalismo y violencia callejera","Venta de drogas","Violaciones, abusos o acosos sexuales","Venta de drogas","La pobreza y las desigualdades sociales","Las carencias afectivas en el hogar","La lejanía o la ausencia las comisarías","Sí","Robo en vivienda o local","Mucho","No llevar mucho dinero consigo ni objetos de valor","Buscar paraderos iluminados y concurridos","Instalar una alarma o instalar rejas en su domicilio","Verificar que las puertas del auto estén bien cerradas o la ","Cambiar de rutas con frecuencia","No subir a un bus vacío","Evitar contacto con extraños en la calle",NA,NA,NA,NA,NA,"Ha aumentado mucho","Muy eficaz","Bastante eficaz","Muy eficaz","Bastante eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","Todos","Malo","Malo","Malo","Malo","Bueno","Bueno","Malo","Ni bueno, ni malo","Malo","Malo","Malo","Malo","La atención a las víctimas de delitos","No",NA,"No",NA,NA,9,"Superior técnica completa","Independiente / cuenta propia","Pequeño comerciante con puesto / Microempresario (menos de 5","Otra persona","Secundaria incompleta","Asalariado sector público","Obrero poco especializado / de limpieza","Water / inodoro",3,"Sí","Sí","Sí","Sí","Iguales","Entre 1001 y 1500","Mestizo","30 a 44","Casa independiente","Medio","Asfaltado en buen estado","Inclinado","150133            ","Lima Sur","C","C",0.974300959895075,"150133            ",-1.42746372839649,24.3982928689994,39,4
"323",607,"Masculino",39,"Aprueba","Desaprueba","Desaprueba","Aprueba","Desaprueba","Desaprueba","Aprueba","Aprueba","Regular","Mejor","Medianamente informado","Algo interesado","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Promover la economía privada de mercado es la única forma en","Si","","","Luis Castañeda","Ollanta Humala",NA,NA,NA,"Keiko Fujimori","No precisa","Alexander Kouri","No precisa","Permanece igual","Mejorará algo","Algo mejor","Mejorará algo","Conseguir beneficios particulares aprovechando un cargo públ","Algo honesto","Muy grave","Igual de corrupto","Algo mejor","Alan García Pérez (85-90)","Tan corrupto como los otros","","","","Muy corrupta","","","","","",6,"Poco eficiente","Poco eficiente","Nada eficiente","En desacuerdo","De acuerdo","Pobres","Los políticos","La participación de los ciudadanos en general","Un Poder Judicial más efectivo y menos corrupto","Confianza","","No aplica","","","","","","","","","","","","","Sí","Sí","No","No","No","No","Sí","Sí","No","No","No","No","Robo en vivienda o local","Actos de vandalismo y violencia callejera","Secuestros","Robo en vivienda o local","Secuestros","La pobreza y las desigualdades sociales","Las carencias afectivas en el hogar","El mal funcionamiento de la justicia","No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor","Buscar paraderos iluminados y concurridos","Cambiar de rutas con frecuencia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Poco eficaz","Bastante eficaz","Bastante eficaz","Poco eficaz","Bastante eficaz","Poco eficaz","Poco eficaz","La familia","Malo","Malo","Malo","Malo","Malo","Bueno","Muy malo","Muy malo","Malo","Malo","Muy malo","Malo","La persecución del delito","No",NA,"No",NA,NA,6,"Superior universitaria completa","Asalariado sector privado","Funcionario profesional del sector público / ejecutivo profe","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",3,"Sí","Sí","Sí","No","Iguales","Entre 5001 y 10000","Mestizo","30 a 44","Casa independiente","Medio","Asfaltado en regular o mal estado","Plano","150133            ","Lima Sur","B","A/B",0.974300959895075,"150133            ",0.948324706586466,59.1177959237489,419,2
"324",2,"Femenino",22,"Desaprueba","Desaprueba","No precisa","Desaprueba","Desaprueba","No precisa","No precisa","Desaprueba","Regular","Peor","Medianamente informado","Poco interesado","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","La democracia puede funcionar sin congreso o parlamento","Sin partidos políticos no puede haber democracia","Promover una mayor participación del Estado en la economía e","Si","","","No precisa","Keiko Fujimori",NA,NA,NA,"No precisa","No precisa","Luis Castañeda","No precisa","Permanece igual","Mejorará algo","Algo mejor","Mejorará mucho","Apropiarse de dinero o propiedades públicas","Algo honesto","Algo grave","Igual de corrupto","Algo peor","Alberto Fujimori Fujimori (90-2001)","Tan corrupto como los otros","","","","","","","","","",6,"Poco eficiente","Poco eficiente","Nada eficiente","En desacuerdo","De acuerdo","Ambos igual","Los políticos","El rol fiscalizador de los medios de comunicación","Educación en valores en las escuelas y las familias","Tranquilidad","","No aplica","","","No aplica","","","","","","",NA,"","","No","Sí","No","No","No precisa","Sí","Sí","Sí","No","Sí","Sí","No","Violaciones, abusos o acosos sexuales","Actos de vandalismo y violencia callejera","Abusos o coacciones por parte de agentes de la autoridad","Violaciones, abusos o acosos sexuales","Abusos o coacciones por parte de agentes de la autoridad","El bajo nivel educativo","La poca eficacia de la Policía","El mal funcionamiento de la justicia","No",NA,NA,"Buscar paraderos iluminados y concurridos","Instalar una alarma o instalar rejas en su domicilio","Evitar los estacionamientos oscuros y mal vigilados","Anotar placa del taxi","No subir a un bus vacío","Evitar contacto con extraños en la calle",NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Bastante eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Poco eficaz","Muy eficaz","Bastante eficaz","La familia","Malo","Ni bueno, ni malo","Bueno","Malo","Ni bueno, ni malo","Bueno","Muy malo","Ni bueno, ni malo","Ni bueno, ni malo","Bueno","Ni bueno, ni malo","Malo","La prevención de los desórdenes públicos","No",NA,"No",NA,NA,3,"Superior universitaria incompleta","Estudiante",NA,"Otra persona","Superior universitaria completa","Asalariado sector privado","Funcionario profesional del sector público / ejecutivo profe","Water / inodoro",1,"No","Sí","Sí","Sí","Mejores","Entre 1001 y 1500","Mestizo","18 a 29","Casa independiente","Residencial","Asfaltado en buen estado","Plano","150101            ","Lima Antigüa","B","A/B",0.877796825886446,"150101            ",-0.486105790967445,38.1551911276674,154,3
"325",26,"Femenino",26,"No precisa","No precisa","No precisa","No precisa","No precisa","No precisa","Desaprueba","Aprueba","Mala","Igual","Medianamente informado","Nada interesado","No precisa","La democracia es preferible a cualquier otra forma de gobier","Sin un congreso o parlamento no puede haber democracia","La democracia puede funcionar sin partidos políticos","Promover la economía privada de mercado es la única forma en","No",NA,NA,"Keiko Fujimori","Ollanta Humala","Alejandro Toledo",NA,NA,"Keiko Fujimori","Luis Castañeda","No precisa","Luis Castañeda","Mucho peor","No precisa","Mucho peor","No precisa","Conseguir beneficios particulares aprovechando un cargo públ","Nada honesto","Algo grave","Igual de corrupto","Igual","Alan García Pérez (85-90)","Tan corrupto como los otros","Muy corrupta","Muy corrupta","","","Muy corrupta","Muy corrupta","Muy corrupta","","No es corrupta",5,"Poco eficiente","Poco eficiente","Poco eficiente","Muy de acuerdo","Muy en desacuerdo","Ricos","Los políticos","Un trabajo eficiente de instituciones especializadas en el c","Un Poder Judicial más efectivo y menos corrupto","Confianza","","","","","Nada Segura","No precisa","","Nada Segura","Nada Segura","","","","","","No","No","No","No","No precisa","No","Sí","Sí","No","No","No","No","Robo al paso (de bolso, cartera, celular)","Robo en vivienda o local","Actos de vandalismo y violencia callejera","Secuestros","Atraco (con violencia o amenaza) y Asaltos con armas","El bajo nivel educativo","La poca eficacia de la Policía","El mal funcionamiento de la justicia","No",NA,NA,"Llevar ocultos los objetos de valor o dinero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No precisa","Nada eficaz","Muy eficaz","Muy eficaz","Muy eficaz","No precisa","Muy eficaz","Muy eficaz","Todos","Malo","Malo","Malo","Malo","Muy malo","Muy malo","Muy malo","Muy malo","Muy malo","Muy malo","Muy malo","Muy malo","Ninguno","No",NA,"No",NA,NA,10,"Superior técnica incompleta","Ama de casa",NA,"Otra persona","Superior técnica completa","Independiente / cuenta propia","Pequeño comerciante con puesto / Microempresario (menos de 5","Water / inodoro",1,"No","Sí","Sí","Sí","Mejores","Menos de 300","Mestizo","18 a 29","Casa independiente","Popular","Asfaltado en regular o mal estado","Plano","150101            ","Lima Antigüa","C","C",0.877796825886446,"150101            ",-1.54599051492685,22.6661558375976,33,4
"326",44,"Femenino",41,"Aprueba","No precisa","No precisa","Aprueba","Desaprueba","Aprueba","Aprueba","Desaprueba","Regular","Mejor","Poco informado","Poco interesado","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Promover una mayor participación del Estado en la economía e","Si","No precisa","No precisa","Luis Castañeda","Ollanta Humala",NA,NA,NA,"No precisa","No precisa","Ollanta Humala","No precisa","Algo peor","Mejorará algo","Algo mejor","Mejorará algo","Apropiarse de dinero o propiedades públicas","Poco honesto","Muy grave","Algo más corrupto","Algo mejor","Alberto Fujimori Fujimori (90-2001)","Más corrupto que los otros","","","","","","","","","",7,"Poco eficiente","Poco eficiente","Poco eficiente","Muy de acuerdo","De acuerdo","Pobres","Los políticos","Un trabajo eficiente de instituciones especializadas en el c","Educación en valores en las escuelas y las familias","Tranquilidad","","No aplica","No aplica","Muy segura","","Muy segura","","","","","","","","","No","No","No","No","No","Sí","Sí","Sí","No","Sí","No","Sí","Robo al paso (de bolso, cartera, celular)","Fraude o estafa","Actos de vandalismo y violencia callejera","Agresión física personal (no sexual)","Amenazas o intimidaciones","El consumo de drogas","El desempleo","Las carencias afectivas en el hogar","No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor","Buscar paraderos iluminados y concurridos","Evitar contacto con extraños en la calle",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha disminuido algo","Poco eficaz","Muy eficaz","Poco eficaz","Muy eficaz","Nada eficaz","Muy eficaz","Muy eficaz","La familia","Bueno","Ni bueno, ni malo","Bueno","Ni bueno, ni malo","Bueno","Ni bueno, ni malo","Malo","Ni bueno, ni malo","Malo","Malo","Ni bueno, ni malo","Bueno","La protección de los ciudadanos","No",NA,"No",NA,NA,4,"Secundaria completa","Asalariado sector privado","Empleado no profesional de rango medio (cajero, vendedor)","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",1,"No","Sí","Sí","No","Mejores","Entre 1001 y 1500","Mestizo","30 a 44","Departamento en edificio","Medio","Asfaltado en regular o mal estado","Plano","150105            ","Lima Antigüa","C","C",0.877796825886446,"150105            ",0.230382384558874,48.6258681595876,306,1
"327",64,"Masculino",44,"Aprueba","Desaprueba","Aprueba","Aprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Regular","Peor","Medianamente informado","Poco interesado","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","La democracia puede funcionar sin congreso o parlamento","Sin partidos políticos no puede haber democracia","Promover una mayor participación del Estado en la economía e","Si","","Derecha","Keiko Fujimori","Lourdes Flores",NA,NA,NA,"No precisa","No precisa","No precisa","No precisa","Algo mejor","Mejorará algo","Algo peor","Mejorará algo","Despedir a los funcionarios encontrados al asumir un cargo","Nada honesto","Muy grave","Mucho más corrupto","Algo peor","Alberto Fujimori Fujimori (90-2001)","Menos corrupto que los otros","","Muy corrupta","","","Muy corrupta","","Muy corrupta","Muy corrupta","Muy corrupta",2,"Poco eficiente","Poco eficiente","Poco eficiente","De acuerdo","De acuerdo","Ricos","Los burócratas","La participación de los ciudadanos en general","Prisión efectiva","Solidez","","Muy segura","","","","","","Nada Segura","","","Nada Segura","Muy segura","Nada Segura","","No","No","No","No","No","Sí","Sí","Sí","No","Sí","No","No","Atraco (con violencia o amenaza) y Asaltos con armas","Robo en vivienda o local","Violaciones, abusos o acosos sexuales","Abusos o coacciones por parte de agentes de la autoridad","Venta de drogas","El consumo de drogas","El bajo nivel educativo","El mal funcionamiento de la justicia","No",NA,NA,"No salir sin compañía","Evitar los estacionamientos oscuros y mal vigilados","Anotar placa del taxi","Cambiar de rutas con frecuencia",NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Poco eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz","La familia","Muy bueno","Malo","Muy malo","Malo","Malo","Bueno","Bueno","Malo","Ni bueno, ni malo","Bueno","Bueno","Bueno","La atención a las víctimas de delitos","No",NA,"No",NA,NA,1,"Secundaria incompleta","Asalariado sector público","Obrero poco especializado / de limpieza","El propio entrevistado",NA,NA,NA,"Water / inodoro",1,"No","No","No","No","Mejores","Entre 1001 y 1500","Mestizo","30 a 44","Departamento en edificio","Medio","Asfaltado en regular o mal estado","Plano","150115            ","Lima Antigüa","D","D/E",0.877796825886446,"150115            ",-0.537896620269559,37.3983258152156,141,3
"328",65,"Masculino",27,"Desaprueba","Desaprueba","Desaprueba","Aprueba","Desaprueba","Aprueba","Aprueba","Desaprueba","Mala","Igual","Medianamente informado","Algo interesado","Satisfecho","A veces un gobierno autoritario o una dictadura es preferibl","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Promover la economía privada de mercado es la única forma en","Si","No precisa","No precisa","Alejandro Toledo","Ollanta Humala","Keiko Fujimori",NA,NA,"Lourdes Flores","Luis Castañeda","No precisa","Luis Castañeda","Permanece igual","Mejorará algo","Algo mejor","Mejorará algo","Apropiarse de dinero o propiedades públicas","Poco honesto","Muy grave","Igual de corrupto","Igual","Alberto Fujimori Fujimori (90-2001)","Tan corrupto como los otros","","","","","","","","","",2,"Poco eficiente","Poco eficiente","Poco eficiente","De acuerdo","De acuerdo","Pobres","Los políticos","Un trabajo eficiente de instituciones especializadas en el c","Prisión efectiva","Confianza","","No aplica","","","","","","","","","","","","","No","Sí","No","No","Sí","No","No","Sí","No","Sí","Sí","No","Atraco (con violencia o amenaza) y Asaltos con armas","Robo al paso (de bolso, cartera, celular)","Secuestros","Atraco (con violencia o amenaza) y Asaltos con armas","Robo al paso (de bolso, cartera, celular)","La pobreza y las desigualdades sociales","La poca eficacia de la Policía","El mal funcionamiento de la justicia","Sí","Robo en vivienda o local","Poco","No llevar mucho dinero consigo ni objetos de valor","Instalar una alarma o instalar rejas en su domicilio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado algo","Poco eficaz","Muy eficaz","Muy eficaz","Poco eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","El propio consumidor","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","La prevención de los desórdenes públicos","No",NA,"No",NA,NA,4,"Superior universitaria completa","Independiente / cuenta propia","Pequeño comerciante con puesto / Microempresario (menos de 5","Otra persona","Superior técnica incompleta","Independiente / cuenta propia","Pequeño comerciante con puesto / Microempresario (menos de 5","Water / inodoro",5,"Sí","Sí","Sí","Sí","Iguales","Entre 3001 y 5000","Mestizo","18 a 29","Casa independiente","Medio","Asfaltado en regular o mal estado","Plano","150115            ","Lima Antigüa","B","A/B",0.877796825886446,"150115            ",1.28500908340679,64.0380632663178,460,2
"329",67,"Masculino",78,"Aprueba","Desaprueba","Aprueba","Desaprueba","Desaprueba","Desaprueba","Aprueba","Aprueba","Regular","Mejor","Poco informado","Poco interesado","Satisfecho","Me da lo mismo un tipo de gobierno u otro","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Promover la economía privada de mercado es la única forma en","Si","Derecha","Derecha","Keiko Fujimori","Ollanta Humala","Luis Castañeda","Otros",NA,"Keiko Fujimori","Luis Castañeda","No precisa","Luis Castañeda","Permanece igual","Empeorará algo","Permanece igual","Mejorará algo","Hacer obras públicas en tiempo de campaña","Poco honesto","Muy grave","Algo más corrupto","Igual","Alan García Pérez (85-90)","Más corrupto que los otros","","","","","","","","","",5,"Poco eficiente","Poco eficiente","Poco eficiente","De acuerdo","De acuerdo","Ricos","Los políticos","Contar con buenas leyes","Educación en valores en las escuelas y las familias","Confianza","","","","","","","","Nada Segura","Nada Segura","","","Muy segura","","","No","No","No","No","No","Sí","Sí","Sí","Sí","No","Sí","Sí","Robo al paso (de bolso, cartera, celular)","Robo de objetos en su vehículo","Robo de vehículo","Robo de vehículo","Robo al paso (de bolso, cartera, celular)","El desempleo","La poca dureza de las penas","La falta de colaboración ciudadana","No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor","Buscar paraderos iluminados y concurridos","Instalar una alarma o instalar rejas en su domicilio","Anotar placa del taxi","No subir a un bus vacío",NA,NA,NA,NA,NA,NA,NA,"Ha aumentado algo","Poco eficaz","Bastante eficaz","Poco eficaz","Poco eficaz","Muy eficaz","Bastante eficaz","Bastante eficaz","La policía","Muy malo","Bueno","Malo","Bueno","Bueno","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","La prevención de los desórdenes públicos","Sí","Satisfactorio","No",NA,NA,6,"Inicial o primaria incompleta","Independiente / cuenta propia","Pequeño comerciante con puesto / Microempresario (menos de 5","Otra persona","Superior universitaria incompleta","Asalariado sector público","Pequeño comerciante con puesto / Microempresario (menos de 5","Water / inodoro",3,"No","Sí","Sí","Sí","Mejores","Entre 2001 y 3000","Negro / mulato / zambo","45 a más","Casa independiente","Medio","Asfaltado en buen estado","Plano","150115            ","Lima Antigüa","B","A/B",0.877796825886446,"150115            ",-0.133958826378124,43.3014269762594,222,1
